TEFF  24000.  GRAVITY 4.00000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX  123    91.50        3.276421E+15   8.6950E-06   1.1452E-03   0.00759
FLUX  124    92.50        3.241000E+15   6.0139E-05   1.1425E-03   0.05264
FLUX  125    93.50        3.206337E+15   1.6056E-04   1.1394E-03   0.14092
FLUX  126    94.50        3.172407E+15   3.5427E-04   1.1361E-03   0.31183
FLUX  127    95.50        3.139188E+15   4.7930E-04   1.1326E-03   0.42320
FLUX  128    96.50        3.106658E+15   5.7414E-04   1.1288E-03   0.50862
FLUX  129    97.50        3.074795E+15   9.3265E-05   1.1249E-03   0.08291
FLUX  130    98.50        3.043579E+15   5.0971E-04   1.1210E-03   0.45468
FLUX  131    99.50        3.012990E+15   5.1941E-04   1.1169E-03   0.46507
FLUX  132   100.50        2.983010E+15   6.3491E-04   1.1125E-03   0.57072
FLUX  133   101.50        2.953621E+15   6.4251E-04   1.1079E-03   0.57996
FLUX  134   102.50        2.924805E+15   3.0237E-04   1.1038E-03   0.27392
FLUX  135   103.50        2.896546E+15   5.0192E-04   1.0993E-03   0.45659
FLUX  136   104.50        2.868828E+15   8.2090E-04   1.0946E-03   0.74995
FLUX  137   105.50        2.841635E+15   7.6712E-04   1.0898E-03   0.70388
FLUX  138   106.50        2.814953E+15   6.2589E-04   1.0850E-03   0.57684
FLUX  139   107.50        2.788767E+15   7.4332E-04   1.0802E-03   0.68814
FLUX  140   108.50        2.763065E+15   6.6718E-04   1.0753E-03   0.62048
FLUX  141   109.50        2.737831E+15   7.7367E-04   1.0702E-03   0.72289
FLUX  142   110.50        2.713054E+15   7.0339E-04   1.0662E-03   0.65970
FLUX  143   111.50        2.688722E+15   6.8449E-04   1.0610E-03   0.64511
FLUX  144   112.50        2.664822E+15   5.6759E-04   1.0558E-03   0.53759
FLUX  145   113.50        2.641344E+15   7.5909E-04   1.0506E-03   0.72254
FLUX  146   114.50        2.618275E+15   6.9158E-04   1.0452E-03   0.66164
FLUX  147   115.50        2.595606E+15   7.2836E-04   1.0398E-03   0.70045
FLUX  148   116.50        2.573326E+15   7.3441E-04   1.0344E-03   0.70999
FLUX  149   117.50        2.551426E+15   4.4402E-04   1.0291E-03   0.43147
FLUX  150   118.50        2.529895E+15   7.2374E-04   1.0239E-03   0.70686
FLUX  151   119.50        2.508724E+15   6.6009E-04   1.0184E-03   0.64816
